Year,Location,Plant_Date,County,Date,LocMinTempF,LocMaxTempF,CIMIS,StatMinTempF,StatMaxTempF,HeadM105,HeadM206,HeadM209,HeadM210,HeadM211,HeadM401,,,,
2016,BosworthRue,5/16/16,Yuba,2016-05-16,74.1,84.1,Verona235,48.7,84.9,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-05-17,63.8,87.5,Verona235,60.1,89.5,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-05-18,65.1,93.1,Verona235,55.9,92.7,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-05-19,62.1,80.2,Verona235,55.5,82.2,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-05-20,53.7,62.7,Verona235,47.1,69.5,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-05-21,52.1,67.8,Verona235,48.8,68.7,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-05-22,51.1,70.8,Verona235,48.1,72.0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-05-23,53.4,73.8,Verona235,55.8,75.3,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-05-24,56.7,74.9,Verona235,53.0,74.8,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-05-25,56.0,80.0,Verona235,52.6,79.6,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-05-26,57.3,82.8,Verona235,53.1,85.7,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-05-27,61.6,84.8,Verona235,50.1,87.0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-05-28,61.9,86.2,Verona235,56.0,88.6,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-05-29,63.9,90.4,Verona235,51.9,93.8,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-05-30,65.4,93.1,Verona235,52.5,98.4,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-05-31,69.8,97.8,Verona235,56.3,100.2,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-06-01,69.5,93.6,Verona235,58.5,95.5,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-06-02,63.2,93.0,Verona235,53.3,97.6,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
