Location,CIMIS,Years,start_date,end_date,lat,lon
Biggs244,Biggs244,2016,2016-01-01,2016-12-31,39.386632,-121.835278
Biggs244,Biggs244,2017,2017-01-01,2017-12-31,39.386632,-121.835278
Biggs244,Biggs244,2018,2018-01-01,2018-12-31,39.386632,-121.835278
Biggs244,Biggs244,2019,2019-01-01,2019-12-31,39.386632,-121.835278
Biggs244,Biggs244,2020,2020-01-01,2020-12-31,39.386632,-121.835278
Biggs244,Biggs244,2021,2021-01-01,2021-12-31,39.386632,-121.835278
Biggs244,Biggs244,2022,2022-01-01,2022-12-31,39.386632,-121.835278
Biggs244,Biggs244,2023,2023-01-01,2023-12-31,39.386632,-121.835278
Davis6,Davis6,2016,2016-01-01,2016-12-31,38.535694,-121.77636
Davis6,Davis6,2017,2017-01-01,2017-12-31,38.535694,-121.77636
Davis6,Davis6,2018,2018-01-01,2018-12-31,38.535694,-121.77636
Davis6,Davis6,2019,2019-01-01,2019-12-31,38.535694,-121.77636
Davis6,Davis6,2020,2020-01-01,2020-12-31,38.535694,-121.77636
Davis6,Davis6,2021,2021-01-01,2021-12-31,38.535694,-121.77636
Davis6,Davis6,2022,2022-01-01,2022-12-31,38.535694,-121.77636
Davis6,Davis6,2023,2023-01-01,2023-12-31,38.535694,-121.77636
