Location,Date,Year,County,LocMinTempF,LocMaxTempF,PRISMMinTempF,PRISMaxTempF,MINDif_PRISMLOC,MAXDif_PRISMLOC,MINDif_OUT,MAXDif_OUT
BosworthRue,2016-05-16,2016,Yuba,74.1,84.1,54.07160015,83.19920044,-20.02839985,-0.900799561,1,0
BosworthRue,2016-05-17,2016,Yuba,63.8,87.5,56.22440033,86.11160049,-7.57559967,-1.388399506,0,0
BosworthRue,2016-05-18,2016,Yuba,65.1,93.1,61.81339951,90.70159912,-3.286600494,-2.398400879,0,0
BosworthRue,2016-05-19,2016,Yuba,62.1,80.2,61.51640129,95.16739731,-0.583598709,14.96739731,0,0
BosworthRue,2016-05-20,2016,Yuba,53.7,62.7,55.52959919,82.04180107,1.82959919,19.34180107,0,0
BosworthRue,2016-05-21,2016,Yuba,52.1,67.8,50.48239937,67.55360146,-1.617600632,-0.246398544,0,0
BosworthRue,2016-05-22,2016,Yuba,51.1,70.8,49.25119934,69.43460159,-1.848800659,-1.365398407,0,0
BosworthRue,2016-05-23,2016,Yuba,53.4,73.8,49.01720085,72.91220016,-4.382799149,-0.887799835,0,0
BosworthRue,2016-05-24,2016,Yuba,56.7,74.9,50.57959919,75.40340157,-6.12040081,0.503401566,0,0
BosworthRue,2016-05-25,2016,Yuba,56,80,54.32899952,77.63720016,-1.671000481,-2.362799835,0,0
BosworthRue,2016-05-26,2016,Yuba,57.3,82.8,53.19139957,80.59100151,-4.108600426,-2.208998489,0,0
BosworthRue,2016-05-27,2016,Yuba,61.6,84.8,54.88159981,85.3682003,-6.718400192,0.568200302,0,0
BosworthRue,2016-05-28,2016,Yuba,61.9,86.2,56.31979942,87.91339951,-5.580200577,1.713399506,0,0
BosworthRue,2016-05-29,2016,Yuba,63.9,90.4,58.24940033,89.12119865,-5.65059967,-1.278801346,0,0
BosworthRue,2016-05-30,2016,Yuba,65.4,93.1,58.39159946,91.89500275,-7.008400536,-1.204997253,0,0
BosworthRue,2016-05-31,2016,Yuba,69.8,97.8,59.30779915,96.24560242,-10.49220085,-1.554397583,0,0
BosworthRue,2016-06-01,2016,Yuba,69.5,93.6,62.83399849,100.9346016,-6.666001511,7.334601593,0,0
BosworthRue,2016-06-02,2016,Yuba,63.2,93,60.39680004,98.56399918,-2.803199959,5.563999176,0,0
BosworthRue,2016-06-03,2016,Yuba,68,96.9,59.01440067,97.77559967,-8.985599327,0.87559967,0,0
BosworthRue,2016-06-04,2016,Yuba,70.1,89.5,63.87619934,102.1748001,-6.223800659,12.67480011,0,0
BosworthRue,2016-06-05,2016,Yuba,69.6,96.2,64.47920113,93.85700302,-5.120798874,-2.342996979,0,0
BosworthRue,2016-06-06,2016,Yuba,68.1,93.2,63.81680107,100.7078026,-4.283198929,7.507802582,0,0
BosworthRue,2016-06-07,2016,Yuba,62.8,89.1,62.35340157,97.63520126,-0.446598434,8.535201263,0,0
BosworthRue,2016-06-08,2016,Yuba,59.6,84.5,58.40419941,93.1730011,-1.195800591,8.673001099,0,0
BosworthRue,2016-06-09,2016,Yuba,58.8,82.8,57.55820065,89.47220154,-1.241799355,6.672201538,0,0
