Location,Date,Year,County,LocMinTempF,LocMaxTempF,PRISMMinTempF,PRISMMaxTempF,MINDif_OUT,MAXDif_OUT
BosworthRue,2016-05-16,2016,Yuba,74.1,84.1,54.07160015,83.19920044,1,0
BosworthRue,2016-05-17,2016,Yuba,63.8,87.5,56.22440033,86.11160049,0,0
BosworthRue,2016-05-18,2016,Yuba,65.1,93.1,61.81339951,90.70159912,0,0
BosworthRue,2016-05-19,2016,Yuba,62.1,80.2,61.51640129,95.16739731,0,0
BosworthRue,2016-05-20,2016,Yuba,53.7,62.7,55.52959919,82.04180107,0,0
BosworthRue,2016-05-21,2016,Yuba,52.1,67.8,50.48239937,67.55360146,0,0
BosworthRue,2016-05-22,2016,Yuba,51.1,70.8,49.25119934,69.43460159,0,0
BosworthRue,2016-05-23,2016,Yuba,53.4,73.8,49.01720085,72.91220016,0,0
BosworthRue,2016-05-24,2016,Yuba,56.7,74.9,50.57959919,75.40340157,0,0
BosworthRue,2016-05-25,2016,Yuba,56,80,54.32899952,77.63720016,0,0
BosworthRue,2016-05-26,2016,Yuba,57.3,82.8,53.19139957,80.59100151,0,0
BosworthRue,2016-05-27,2016,Yuba,61.6,84.8,54.88159981,85.3682003,0,0
BosworthRue,2016-05-28,2016,Yuba,61.9,86.2,56.31979942,87.91339951,0,0
BosworthRue,2016-05-29,2016,Yuba,63.9,90.4,58.24940033,89.12119865,0,0
BosworthRue,2016-05-30,2016,Yuba,65.4,93.1,58.39159946,91.89500275,0,0
BosworthRue,2016-05-31,2016,Yuba,69.8,97.8,59.30779915,96.24560242,0,0
BosworthRue,2016-06-01,2016,Yuba,69.5,93.6,62.83399849,100.9346016,0,0
BosworthRue,2016-06-02,2016,Yuba,63.2,93,60.39680004,98.56399918,0,0
BosworthRue,2016-06-03,2016,Yuba,68,96.9,59.01440067,97.77559967,0,0
BosworthRue,2016-06-04,2016,Yuba,70.1,89.5,63.87619934,102.1748001,0,0
BosworthRue,2016-06-05,2016,Yuba,69.6,96.2,64.47920113,93.85700302,0,0
BosworthRue,2016-06-06,2016,Yuba,68.1,93.2,63.81680107,100.7078026,0,0
BosworthRue,2016-06-07,2016,Yuba,62.8,89.1,62.35340157,97.63520126,0,0
BosworthRue,2016-06-08,2016,Yuba,59.6,84.5,58.40419941,93.1730011,0,0
