Location,Years,start_date,end_date,lat,lon
BosworthRue,2016,2016-05-16,2016-10-13,39.025883,-121.533774
BosworthRue,2017,2017-05-23,2017-10-17,39.025883,-121.533774
BosworthRue,2018,2018-05-22,2018-10-20,39.025883,-121.533774
BosworthRue,2019,2019-06-03,2019-10-21,39.025883,-121.533774
BosworthRue,2020,2020-04-30,2020-09-28,39.025883,-121.533774
BosworthRue,2021,2021-04-30,2021-09-24,39.025883,-121.533774
BosworthRue,2022,2022-05-23,2022-09-29,39.025883,-121.533774
BosworthRue,2023,2023-05-24,2023-10-30,39.025883,-121.533774
Canal,2016,2016-04-23,2016-09-19,39.296727,-122.135116
Canal,2017,2017-05-03,2017-09-19,39.296727,-122.135116
Canal,2018,2018-05-03,2018-09-20,39.296727,-122.135116
Canal,2019,2019-05-03,2019-09-23,39.296727,-122.135116
Canal,2020,2020-05-19,2020-10-10,39.296727,-122.135116
Canal,2021,2021-04-21,2021-09-20,39.296727,-122.135116
Canal,2022,2022-04-21,2022-09-20,39.296727,-122.135116
Canal,2023,2023-05-26,2023-10-16,39.296727,-122.135116
DelRio,2016,2016-05-05,2016-10-11,38.085382,-121.274162
DelRio,2021,2021-04-16,2021-10-07,38.085382,-121.274162
DelRio,2022,2022-04-19,2022-10-02,38.085382,-121.274162
DelRio,2023,2023-04-27,2023-10-12,38.085382,-121.274162
ErdmanGallagher,2016,2016-05-12,2016-10-10,38.884042,-121.878682
ErdmanGallagher,2017,2017-05-16,2017-10-08,38.884042,-121.878682
ErdmanGallagher,2018,2018-05-18,2018-10-16,38.884042,-121.878682
ErdmanGallagher,2019,2019-05-20,2019-10-15,38.884042,-121.878682
ErdmanGallagher,2020,2020-05-11,2020-10-02,38.884042,-121.878682
ErdmanGallagher,2021,2021-05-06,2021-09-30,38.884042,-121.878682
ErdmanGallagher,2023,2023-05-18,2023-10-19,38.884042,-121.878682
LarrabeeSheppard,2016,2016-05-06,2016-10-09,39.466952,-121.857006
LarrabeeSheppard,2017,2017-05-17,2017-10-10,39.466952,-121.857006
LarrabeeSheppard,2018,2018-05-17,2018-09-28,39.466952,-121.857006
LarrabeeSheppard,2019,2019-05-11,2019-10-02,39.466952,-121.857006
LarrabeeSheppard,2020,2020-04-29,2020-09-16,39.466952,-121.857006
LarrabeeSheppard,2021,2021-05-12,2021-10-19,39.466952,-121.857006
LarrabeeSheppard,2022,2022-05-21,2022-10-29,39.466952,-121.857006
LarrabeeSheppard,2023,2023-05-19,2023-10-11,39.466952,-121.857006
Lauppe,2016,2016-05-03,2016-09-23,38.762977,-121.540549
Lauppe,2017,2017-05-22,2017-09-28,38.762977,-121.540549
Lauppe,2018,2018-05-18,2018-10-02,38.762977,-121.540549
Lauppe,2019,2019-05-15,2019-10-08,38.762977,-121.540549
Lauppe,2020,2020-05-12,2020-10-03,38.762977,-121.540549
Lauppe,2021,2021-05-06,2021-10-02,38.762977,-121.540549
Lauppe,2022,2022-05-06,2022-10-03,38.762977,-121.540549
Lauppe,2023,2023-05-25,2023-10-28,38.762977,-121.540549
Rehmann,2017,2017-05-22,2017-10-13,38.315376,-121.382871
Rehmann,2018,2018-05-21,2018-10-22,38.315376,-121.382871
Rehmann,2019,2019-05-15,2019-10-17,38.315376,-121.382871
Rehmann,2021,2021-05-27,2021-10-31,38.315376,-121.382871
Rehmann,2023,2023-06-02,2023-11-02,38.315376,-121.382871
Schohr,2016,2016-05-09,2016-09-28,39.369614,-121.832721
Schohr,2017,2017-05-19,2017-10-12,39.369614,-121.832721
Schohr,2018,2018-05-14,2018-09-26,39.369614,-121.832721
Schohr,2019,2019-05-11,2019-09-24,39.369614,-121.832721
Schohr,2020,2020-04-29,2020-09-18,39.369614,-121.832721
Schohr,2021,2021-04-29,2021-09-11,39.369614,-121.832721
Schohr,2022,2022-04-25,2022-09-26,39.369614,-121.832721
Schohr,2023,2023-05-09,2023-09-23,39.369614,-121.832721
Wylie,2016,2016-05-02,2016-10-23,39.405898,-122.239195
Wylie,2017,2017-05-11,2017-10-23,39.405898,-122.239195
Wylie,2018,2018-05-10,2018-10-10,39.405898,-122.239195
Wylie,2019,2019-05-13,2019-10-16,39.405898,-122.239195
Wylie,2020,2020-05-01,2020-10-04,39.405898,-122.239195
Wylie,2021,2021-05-05,2021-10-03,39.405898,-122.239195
Wylie,2022,2022-05-13,2022-10-22,39.405898,-122.239195
Wylie,2023,2023-05-18,2023-10-21,39.405898,-122.239195
