Location,Date,Year,Plant Date,County,LocMinTempF,LocMaxTempF,CIMIS,StatMinTempF,StatMaxTempF,PRISMMinTempF,PRISMaxTempF,HeadM105,HeadM206,HeadM209,HeadM210,HeadM211,HeadM401,sng_tri_loc,sng_sine_loc,sng_tri_stat,sng_sine_stat,sng_tri_prism,sng_sine_prism,cum_sng_tri_loc,cum_sng_sine_loc,cum_sng_tri_stat,cum_sng_sine_stat,cum_sng_tri_prism,cum_sng_sine_prism
BosworthRue,2016-05-16,2016,2016-05-16,Yuba,74.1,84.1,Verona235,48.7,84.9,54.07160015,83.19920044,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,29.1,29.1,16.82,16.9,18.64,18.64,29.1,29.1,16.82,16.9,18.64,18.64
BosworthRue,2016-05-17,2016,2016-05-16,Yuba,63.8,87.5,Verona235,60.1,89.5,56.22440033,86.11160049,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,25.65,25.65,24.8,24.8,21.17,21.17,54.75,54.75,41.62,41.7,39.81,39.81
BosworthRue,2016-05-18,2016,2016-05-16,Yuba,65.1,93.1,Verona235,55.9,92.7,61.81339951,90.70159912,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,29.1,29.1,24.3,24.3,26.26,26.26,83.85,83.85,65.92,66,66.07,66.07
BosworthRue,2016-05-19,2016,2016-05-16,Yuba,62.1,80.2,Verona235,55.5,82.2,61.51640129,95.16739731,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,21.15,21.15,18.85,18.85,28.34,28.34,105,105,84.77,84.85,94.41,94.41
BosworthRue,2016-05-20,2016,2016-05-16,Yuba,53.7,62.7,Verona235,47.1,69.5,55.52959919,82.04180107,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,8.2,8.2,8.49,8.75,18.79,18.79,113.2,113.2,93.26,93.6,113.2,113.2
BosworthRue,2016-05-21,2016,2016-05-16,Yuba,52.1,67.8,Verona235,48.8,68.7,50.48239937,67.55360146,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,9.95,9.95,8.79,8.88,9.02,9.02,123.15,123.15,102.05,102.48,122.22,122.22
BosworthRue,2016-05-22,2016,2016-05-16,Yuba,51.1,70.8,Verona235,48.1,72,49.25119934,69.43460159,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,10.95,10.95,10.13,10.28,9.36,9.4,134.1,134.1,112.18,112.76,131.58,131.62
BosworthRue,2016-05-23,2016,2016-05-16,Yuba,53.4,73.8,Verona235,55.8,75.3,49.01720085,72.91220016,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,13.6,13.6,15.55,15.55,10.98,11.05,147.7,147.7,127.73,128.31,142.56,142.67
BosworthRue,2016-05-24,2016,2016-05-16,Yuba,56.7,74.9,Verona235,53,74.8,50.57959919,75.40340157,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,15.8,15.8,13.9,13.9,12.99,12.99,163.5,163.5,141.63,142.21,155.55,155.66
BosworthRue,2016-05-25,2016,2016-05-16,Yuba,56,80,Verona235,52.6,79.6,54.32899952,77.63720016,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,18,18,16.1,16.1,15.98,15.98,181.5,181.5,157.73,158.31,171.53,171.64
